report_type,item_id,item_vi,item_en
balance_sheet,cash_and_precious_metals,"Tiền mặt, vàng bạc, đá quý",Cash and precious metals
balance_sheet,fixed_assets,Tài sản cố định,Fixed assets
balance_sheet,tangible_fixed_assets,Tài sản cố định hữu hình,Tangible fixed assets
balance_sheet,cost,Nguyên giá TSCĐ hữu hình,Cost
balance_sheet,accumulated_depreciation,Hao mòn TSCĐ hữu hình,Accumulated depreciation
balance_sheet,finance_leased_assets,Tài sản cố định thuê tài chính,Finance leased assets
balance_sheet,cost,Nguyên giá TSCĐ thuê tài chính,Cost
balance_sheet,accumulated_depreciation,Hao mòn TSCĐ thuê tài chính,Accumulated depreciation
balance_sheet,intangible_fixed_assets,Tài sản cố định vô hình,Intangible fixed assets
balance_sheet,cost,Nguyên giá TSCĐ vô hình,Cost
balance_sheet,accumulated_amortization,Hao mòn TSCĐ vô hình,Accumulated amortization
balance_sheet,investment_properties,Bất động sản đầu tư,Investment properties
balance_sheet,historical_cost,Nguyên giá bất động sản đầu tư,Historical cost
balance_sheet,accumulated_depreciation,Hao mòn bất động sản đầu tư,Accumulated depreciation
balance_sheet,investment_in_other_entities_and_long_term_investments,"Góp vốn, đầu tư dài hạn",Investment in other entities and long term investments
balance_sheet,investment_in_subsidiaries,Đầu tư vào công ty con,Investment in subsidiaries
balance_sheet,investment_in_associate_companies,Đầu tư vào công ty liên doanh,Investment in associate companies
balance_sheet,other_long_term_investments,Đầu tư dài hạn khác,Other Long-term investments
balance_sheet,provision_for_long_term_investments,Dự phòng giảm giá đầu tư dài hạn,Provision for long-term investments
balance_sheet,total_assets,TỔNG TÀI SẢN,TOTAL ASSETS
balance_sheet,total_liabilities,TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES
balance_sheet,owners_equity,VỐN CHỦ SỞ HỮU,OWNER'S EQUITY
balance_sheet,charter_capital,Vốn điều lệ,Charter capital
balance_sheet,capital_surplus,Thặng dư vốn cổ phần,Capital surplus
balance_sheet,owners_other_capital,Vốn khác,Owner's other capital
balance_sheet,treasury_shares,Cổ phiếu Quỹ,Treasury shares
balance_sheet,difference_upon_assets_revaluation,Chênh lệch đánh giá lại tài sản,Difference upon assets revaluation
balance_sheet,foreign_currency_difference_reserve,Chênh lệch tỷ giá hối đoái,Foreign currency difference reserve
balance_sheet,retained_earnings,Lợi nhuận chưa phân phối,Retained Earnings
balance_sheet,minority_interest_before_2015,Lợi ích của cổ đông thiểu số (trước 2015),Minority interest (Before 2015)
balance_sheet,liabilities_and_shareholders_equity,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,LIABILITIES AND SHAREHOLDER'S EQUITY
balance_sheet,balances_with_the_sbv,Tiền gửi tại Ngân hàng nhà nước Việt Nam,Balances with the SBV
balance_sheet,placements_with_and_loans_to_other_credit_institutions,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Placements with and loans to other credit institutions
balance_sheet,trading_securities_net,Chứng khoán kinh doanh,"Trading securities, net"
balance_sheet,less_provision_for_diminution_in_value_of_trading_securities,Dự phòng giảm giá chứng khoán kinh doanh,Less: Provision for diminution in value of trading securities
balance_sheet,derivatives_and_other_financial_assets,Các công cụ tài chính phái sinh và các tài sản tài chính khác,Derivatives and other financial assets
balance_sheet,loans_and_advances_to_customers_net,Cho vay khách hàng,"Loans and advances to customers, net"
balance_sheet,less_provision_for_losses_on_loans_and_advances_to_customers,Dự phòng rủi ro cho vay khách hàng,Less: Provision for losses on loans and advances to customers
balance_sheet,investment_securities,Chứng khoán đầu tư,Investment securities
balance_sheet,available_for_sales_securities,Chứng khoán đầu tư sẵn sàng để bán,Available-for-sales securities
balance_sheet,held_to_maturity_securities,Chứng khoán đầu tư giữ đến ngày đáo hạn,Held-to-maturity securities
balance_sheet,provision_for_diminution_in_value_of_investment_securities,Dự phòng giảm giá chứng khoán đầu tư,Provision for diminution in value of investment securities
balance_sheet,other_assets,Tài sản Có khác,Other assets
balance_sheet,due_to_gov_and_loans_from_sbv,Các khoản nợ chính phủ và NHNN Việt Nam,Due to Gov and Loans from SBV
balance_sheet,deposits_and_loans_from_other_credit_institutions,Tiền gửi và vay các Tổ chức tín dụng khác,Deposits and Loans from other credit institutions
balance_sheet,deposits_from_customers,Tiền gửi của khách hàng,Deposits from customers
balance_sheet,derivatives_and_other_financial_liabilities,Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,Derivatives and other financial liabilities
balance_sheet,funds_received_from_gov_international_and_other_institutions,"Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác","Funds received from Gov, international and other institutions"
balance_sheet,convertible_bonds_cds_and_other_valuable_papers_issued,Phát hành giấy tờ có giá,Convertible bonds/CDs and other valuable papers issued
balance_sheet,other_liabilities,Các khoản nợ khác,Other liabilities
balance_sheet,capital,Vốn của tổ chức tín dụng,Capital
balance_sheet,fund_for_basic_construction,Vốn đầu tư XDCB,Fund for basic construction
balance_sheet,preferred_shares,Cổ phiếu ưu đãi,Preferred shares
balance_sheet,reserves,Quỹ của tổ chức tín dụng,Reserves
balance_sheet,other_guarantee,Bảo lãnh khác,Other guarantee
balance_sheet,foreign_exchange_transactions_commitments,Cam kết giao dịch hối đoái,Foreign exchange transactions commitments
balance_sheet,foreign_exchange_buying_commitments,Cam kết mua ngoại tệ,Foreign exchange buying commitments
balance_sheet,foreign_exchange_selling_commitments,Cam kết bán ngoại tệ,Foreign exchange selling commitments
balance_sheet,swap_commitments,Cam kết giao dịch hoán đổi,Swap commitments
balance_sheet,future_commitments,Cam kết giao dịch tương lai,Future commitments
balance_sheet,irrevocable_loan_commitments,Cam kết cho vay không hủy ngang,Irrevocable loan commitments
balance_sheet,letters_of_credit_commitments,Cam kết trong nghiệp vụ L/C,Letters of credit commitments
balance_sheet,other_commitments,Cam kết khác,Other commitments
balance_sheet,minority_interest,Lợi ích của cổ đông thiểu số,Minority interest
balance_sheet,balances_with_other_credit_institutions,Tiền gửi tại các TCTD khác,Balances with other credit institutions
balance_sheet,loans_to_other_credit_institutions,Cho vay các TCTD khác,Loans to other credit institutions
balance_sheet,allowance_for_balances_with_and_loans_to_other_credit_institutions,Dự phòng rủi ro,Allowance for balances with and loans to other credit institutions
balance_sheet,debt_buying,Hoạt động mua nợ,Debt Buying
balance_sheet,debt_buying,Mua nợ,Debt Buying
balance_sheet,provision_for_losses_on_debt_buying,Dự phòng rủi ro hoạt động mua nợ,Provision for losses on debt buying
balance_sheet,other_receivables,Các khoản phải thu,Other receivables
balance_sheet,accrued_interest_and_fee_receivables,Các khoản lãi và phí phải thu,Accrued interest and fee receivables
balance_sheet,deferred_tax_assets,Tài sản thuế TNDN hoãn lại,Deferred tax assets
balance_sheet,in_which_goodwill,Trong đó: Lợi thế thương mại,In which: Goodwill
balance_sheet,provision_for_other_assets,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,Provision for other assets
balance_sheet,deposits_and_loans_from_other_credit_institutions,Tiền gửi của các tổ chức tín dụng khác,Deposits and Loans from other credit institutions
balance_sheet,loans_from_other_credit_institutions,Vay các tổ chức tín dụng khác,Loans from other credit institutions
balance_sheet,accrued_interest_and_fee_payables,"Các khoản lãi, phí phải trả",Accrued interest and fee payables
balance_sheet,deferred_tax_liabilities,Thuế TNDN hoãn lại phải trả,Deferred tax liabilities
balance_sheet,other_liabilities,Các khoản phải trả và công nợ khác,Other liabilities
balance_sheet,allowance_for_other_liabilities,Dự phòng rủi ro khác,Allowance for other liabilities
balance_sheet,investments_in_joint_venture,Vốn Góp liên doanh,Investments in joint-venture
balance_sheet,investments_in_associates,Đầu tư vào công ty liên kết,Investments in associates
income_statement,net_accounting_profit_loss_before_tax,Tổng lợi nhuận/lỗ trước thuế,Net Accounting Profit/(loss) before tax
income_statement,business_income_tax_current,Chi phí thuế TNDN hiện hành,Business income tax - current
income_statement,business_income_tax_deferred,Chi phí thuế TNDN hoãn lại,Business income tax - deferred
income_statement,business_income_tax_expenses,Chi phí thuế thu nhập doanh nghiệp,Business income tax expenses
income_statement,net_profit_loss_after_tax,Lợi nhuận sau thuế,Net profit/(loss) after tax
income_statement,minority_interest,Lợi ích của cổ đông thiểu số,Minority interest
income_statement,attributable_to_parent_company,Cổ đông của Công ty mẹ,Attributable to parent company
income_statement,eps_basic_vnd,Lãi cơ bản trên cổ phiếu (VND),EPS basic (VND)
income_statement,eps_diluted_vnd,Lãi trên cổ phiếu pha loãng (VND),EPS diluted (VND)
income_statement,interest_and_similar_income,Thu nhập lãi và các khoản thu nhập tương tự,Interest and Similar Income
income_statement,interest_and_similar_expenses,Chi phí lãi và các chi phí tương tự,Interest and Similar Expenses
income_statement,net_interest_income,Thu nhập lãi thuần,Net Interest Income
income_statement,fees_and_commission_income,Thu nhập từ dịch vụ,Fees and Commission Income
income_statement,fees_and_commission_expenses,Chi phí dịch vụ,Fees and Commission Expenses
income_statement,net_fee_and_commission_income,Lãi/Lỗ thuần từ hoạt động dịch vụ,Net Fee and Commission Income
income_statement,net_gain_loss_from_foreign_currency_and_gold_dealings,Lãi/(lỗ) thuần từ hoạt động kinh doanh ngoại hối và vàng,Net gain/(loss) from foreign currency and gold dealings
income_statement,net_gain_loss_from_trading_of_trading_securities,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Net gain/(loss) from trading of trading securities
income_statement,net_gain_loss_from_disposal_of_investment_securities,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư,Net gain/(loss) from disposal of investment securities
income_statement,other_income,Thu nhập khác,Other Income
income_statement,other_expenses,Chi phí khác,Other Expenses
income_statement,net_other_income_expenses,Lãi/(lỗ) thuần từ hoạt động khác,Net Other income/expenses
income_statement,dividends_income,Thu nhập từ cổ tức,Dividends Income
